CTFT id;Family;Species;Specific gravity;Country;Sub-continent;Herbarium occurrence
65;ANNONACEAE;Xylopia aethiopica (Dunal) A.Rich.;0.54;Gabon;Afrique;0
66;ANNONACEAE;Xylopia aethiopica (Dunal) A.Rich.;0.6;Gabon;Afrique;0
67;ANNONACEAE;Xylopia aethiopica (Dunal) A.Rich.;0.52;Cameroun;Afrique;1
68;ANNONACEAE;Xylopia aethiopica (Dunal) A.Rich.;0.65;Congo;Afrique;0
69;ANNONACEAE;Xylopia aethiopica (Dunal) A.Rich.;0.64;Congo;Afrique;0
70;ANNONACEAE;Xylopia staudtii Engl. & Diels;0.52;Cameroun;Afrique;1
71;ANNONACEAE;Xylopia staudtii Engl. & Diels;0.42;Cameroun;Afrique;1
72;ANNONACEAE;Xylopia hypolampra Mildbr.;0.73;Congo;Afrique;1
73;ANNONACEAE;Xylopia hypolampra Mildbr.;0.64;Cameroun;Afrique;0
74;ANNONACEAE;Xylopia hypolampra Mildbr.;0.63;Cameroun;Afrique;1
75;ANNONACEAE;Xylopia acutiflora (Dunal) A.Rich.;0.64;Congo;Afrique;1
76;ANNONACEAE;Xylopia frutescens Aubl.;0.8;Guyane Francaise;Amerique du Sud;0
77;ANNONACEAE;Xylopia quintasii Pierre ex Engl. & Diels;1;Cameroun;Afrique;1
78;ANNONACEAE;Xylopia quintasii Pierre ex Engl. & Diels;0.92;Cameroun;Afrique;1
79;ANNONACEAE;Xylopia quintasii Pierre ex Engl. & Diels;0.93;Congo;Afrique;1
80;ANNONACEAE;Greenwayodendron suaveolens (Engl. & Diels) Verdc.;0.95;Gabon;Afrique;0
81;ANNONACEAE;Xylopia quintasii Pierre ex Engl. & Diels;0.97;Gabon;Afrique;0
82;ANNONACEAE;Hexalobus crispiflorus A.Rich.;0.62;Gabon;Afrique;0
83;ANNONACEAE;Xylopia staudtii Engl. & Diels;0.61;Gabon;Afrique;0
84;ANNONACEAE;Xylopia richardi Boiv.;0.49;Reunion;Ocean Indien;0
85;ANNONACEAE;Xylopia rubescens Oliv.;0.48;Cameroun;Afrique;1
86;ANNONACEAE;Xylopia danguyella Ghesq.;0.7;Madagascar;Ocean Indien;1
87;ERICACEAE;Agauria salicifolia Hook.f. var. pyrifolia (Pers.) Oliv.;0.61;Reunion;Ocean Indien;0
88;ERICACEAE;Agauria salicifolia Hook.f. var. pyrifolia (Pers.) Oliv.;0.73;Reunion;Ocean Indien;0
89;MONIMIACEAE;Tambourissa floricostata Cavaco;0.6;Madagascar;Ocean Indien;1
90;MONIMIACEAE;Tambourissa amplifolia (Tul.) A.DC.;0.49;Reunion;Ocean Indien;0
91;MONIMIACEAE;Tambourissa thouvenotii Danguy;0.59;Madagascar;Ocean Indien;1
92;MONIMIACEAE;Tambourissa thouvenotii Danguy;0.5;Madagascar;Ocean Indien;1
93;MONIMIACEAE;Tambourissa thouvenotii Danguy;;Madagascar;Ocean Indien;0
94;MONIMIACEAE;Tambourissa thouvenotii Danguy;;Madagascar;Ocean Indien;0
95;LAURACEAE;Aniba sp;;Guyane Francaise;Amerique du Sud;0
96;LAURACEAE;Aniba sp;;Guyane Francaise;Amerique du Sud;0
97;LAURACEAE;Aniba sp;;Guyane Francaise;Amerique du Sud;0
98;BORAGINACEAE;Cordia alliodora (Ruiz & Pav.) Oken;;Guyane Francaise;Amerique du Sud;0
99;LAURACEAE;Litsea rotundifolia Hemsl. var. oblongifolia C.K.Allen;0.68;Vietnam;Asie continentale;0
100;LAURACEAE;Litsea sp;0.68;Vietnam;Asie continentale;0
101;RUBIACEAE;Antirhea sp;;Antilles françaises;Amerique Centrale et Antilles;0
102;RUBIACEAE;Antirhea sp;;Antilles françaises;Amerique Centrale et Antilles;0
103;RUBIACEAE;Antirhea sp;;Antilles françaises;Amerique Centrale et Antilles;0
104;LAURACEAE;Aniba sp;;Guyane Francaise;Amerique du Sud;0
105;LAURACEAE;Aniba sp;;Guyane Francaise;Amerique du Sud;0
106;LAURACEAE;Litsea reticulata (Meisn.) F.Muell.;0.72;Nouvelle Caledonie;Oceanie;0
107;LAURACEAE;Dehaasia cairocan (Vidal) C.K.Allen;;Philippines;Asie du Sud-Est;0
108;LAURACEAE;Beilschmiedia fulva Robyns & Wilczek;0.75;Congo;Afrique;1
109;LAURACEAE;Cinnamomum camphora (L.) J.Presl.;0.57;Antilles françaises;Amerique Centrale et Antilles;0
110;LAURACEAE;Cinnamomum camphora (L.) J.Presl.;0.68;Vietnam;Asie continentale;0
111;LAURACEAE;Cinnamomum camphora (L.) J.Presl.;0.54;Reunion;Ocean Indien;0
112;LAURACEAE;Cinnamomum camphora (L.) J.Presl.;0.47;Antilles françaises;Amerique Centrale et Antilles;0
113;LAURACEAE;Cinnamomum ilicioides A.Chev.;0.54;Vietnam;Asie continentale;0
114;LAURACEAE;Cinnamomum bejolghota (Buch.-Ham.) Sweet;0.49;Vietnam;Asie continentale;0
115;LAURACEAE;Cinnamomum parthenoxylon (Jack) Meisner;;Indonesie n.p.;Asie du Sud-Est;0
116;LAURACEAE;Cinnamomum tetragonum A.Chev.;0.51;Vietnam;Asie continentale;0
117;LAURACEAE;Cinnamomum tetragonum A.Chev.;0.46;Vietnam;Asie continentale;0
118;LAURACEAE;Cinnamomum tonkinense (Lecomte) A.Chev.;0.57;Vietnam;Asie continentale;1
119;LAURACEAE;Cinnamomum zeylanicum Nees;0.55;Antilles françaises;Amerique Centrale et Antilles;0
120;LAURACEAE;Cinnamomum sp;0.48;Vietnam;Asie continentale;0
121;LAURACEAE;Cinnamomum sp;0.57;Vietnam;Asie continentale;0
122;LAURACEAE;Cinnamomum sp;0.68;Laos;Asie continentale;0
123;LAURACEAE;Cinnamomum sp;0.56;Vietnam;Asie continentale;0
124;LAURACEAE;Cinnamomum sp;0.5;Vietnam;Asie continentale;0
125;LAURACEAE;Cinnamomum sp;0.53;Vietnam;Asie continentale;0
126;LAURACEAE;Cinnamomum cambodianum Lecomte;0.55;Cambodge;Asie continentale;0
127;DIPTEROCARPACEAE;Shorea-pentacme siamensis Miq.;0.84;Cambodge;Asie continentale;0
128;LAURACEAE;Ravensara crassifolia (Baker) Danguy;0.75;Madagascar;Ocean Indien;1
129;LAURACEAE;Aspidostemon louvelii Rohwer;0.86;Madagascar;Ocean Indien;0
130;LAURACEAE;Aspidostemon perrieri (Danguy) Rohwer;0.79;Madagascar;Ocean Indien;1
131;LAURACEAE;Aspidostemon louvelii Rohwer;;Madagascar;Ocean Indien;0
132;LAURACEAE;Cryptocarya thouvenotii (Danguy) Kosterm.;0.68;Madagascar;Ocean Indien;1
