CTFT id;Family;Species;Specific gravity;Country;Sub-continent;Herbarium occurrence
11124;RUBIACEAE;Crossopteryx febrifuga (Afzel ex G.Don) Benth.;0.59;Cote d'Ivoire;Afrique;0
11125;MYRTACEAE;Psidium guajava L.;0.75;Cote d'Ivoire;Afrique;0
11126;ERYTHROXYLACEAE;Erythroxylum mannii Oliv.;0.6;Cote d'Ivoire;Afrique;0
11127;CAESALPINIACEAE;Cynometra megalophylla Harms;0.83;Cote d'Ivoire;Afrique;0
11128;SAPOTACEAE;Gambeya africana (A.DC.) Pierre;0.79;Congo;Afrique;1
11129;SAPOTACEAE;Gambeya africana (A.DC.) Pierre;;Congo;Afrique;0
11130;MELIACEAE;Entandrophragma angolense (Welw. ex DC.) C.DC.;0.53;Guinee Equatoriale;Afrique;0
11131;CAESALPINIACEAE;Copaifera religiosa J.Leonard;0.52;Guinee Equatoriale;Afrique;0
11132;CAESALPINIACEAE;Guibourtia ehie (A.Chev.) J.Leonard;0.86;Guinee Equatoriale;Afrique;0
11133;CAESALPINIACEAE;Prioria joveri (Normand) Breteler;0.43;Guinee Equatoriale;Afrique;0
11134;CAESALPINIACEAE;Distemonanthus benthamianus Baill.;0.57;Guinee Equatoriale;Afrique;0
11135;DIPTEROCARPACEAE;Shorea-antho hypochra Hance;0.67;Cambodge;Asie continentale;0
11136;MALVACEAE;Tarrietia javanica Bl.;0.78;Cambodge;Asie continentale;0
11137;RUBIACEAE;Aidia genipiflora (DC.) Dandy;0.89;Cote d'Ivoire;Afrique;0
11138;RUBIACEAE;Crossopteryx febrifuga (Afzel ex G.Don) Benth.;0.73;Cote d'Ivoire;Afrique;0
11139;PHYLLANTHACEAE;Margaritaria discoidea (Baill.) G.L.Webster;0.96;Cote d'Ivoire;Afrique;1
11140;MELIACEAE;Trichilia monadelpha (Thonn.) De Wilde;0.59;Cote d'Ivoire;Afrique;1
11141;OLACACEAE;Ongokea gore Pierre;0.91;Gabon;Afrique;0
11142;CAESALPINIACEAE;Brachystegia leonensis Bartt Davy & Hutch.;0.56;Cote d'Ivoire;Afrique;0
11143;SAPOTACEAE;Chrysophyllum gonocarpum (Mart. & Eichler ex Miq.) Engl.;0.59;Bolivie;Amerique du Sud;1
11144;ERYTHROXYLACEAE;Erythroxylum sp;0.73;Bolivie;Amerique du Sud;1
11145;RUBIACEAE;Genipa americana L.;0.81;Bolivie;Amerique du Sud;1
11146;MYRTACEAE;Eugenia sp;;Bolivie;Amerique du Sud;1
11147;MYRTACEAE;MYT indéterminé;;Bolivie;Amerique du Sud;1
11148;MELIACEAE;Cedrela fissilis Vell.;0.43;Bolivie;Amerique du Sud;1
11149;MELIACEAE;Trichilia catigua A.Juss. in St.-Hill.;0.78;Bolivie;Amerique du Sud;1
11150;CAESALPINIACEAE;Poeppigia procera C. Presl.;0.89;Bolivie;Amerique du Sud;1
11151;SAPINDACEAE;Allophylus scrobiculatus Radlk.;0.54;Bolivie;Amerique du Sud;1
11152;MORACEAE;Maclura tinctoria (L.) D.Don ex Steud.;0.88;Bolivie;Amerique du Sud;1
11153;ULMACEAE;Ampelocera sp;0.84;Bolivie;Amerique du Sud;1
11154;CHRYSOBALANACEAE;Parinari excelsa Sabine;0.77;Bolivie;Amerique du Sud;1
11155;SAPINDACEAE;Toulicia eriocarpa Radlk.;0.66;Bolivie;Amerique du Sud;1
11156;COMBRETACEAE;Terminalia sp;0.81;Bolivie;Amerique du Sud;1
11157;EUPHORBIACEAE;Croton urucuranus Baill.;0.39;Bolivie;Amerique du Sud;1
11158;RHAMNACEAE;Colubrina glandulosa Perkins var. glandulosa;0.74;Bolivie;Amerique du Sud;1
11159;MALVACEAE;MAL indéterminé;;Bolivie;Amerique du Sud;1
11160;PHYTOLACCACEAE;Gallesia integrifolia (Spreng.) Harms;0.37;Bolivie;Amerique du Sud;1
11161;NYCTAGINACEAE;Pisonia cacerensis Hoehne;;Bolivie;Amerique du Sud;1
11162;FABACEAE;Bowdichia virgilioides Kunth;0.81;Bolivie;Amerique du Sud;1
11163;PROTEACEAE;Panopsis rubescens (Pohl) Pittier;0.53;Bolivie;Amerique du Sud;1
11164;RHAMNACEAE;Rhamnidium glabrum Reissek;1;Bolivie;Amerique du Sud;1
11165;BIGNONIACEAE;Tabebuia roseo-alba (Ridl.) Sandwith;0.62;Bolivie;Amerique du Sud;1
11166;CARYOCARACEAE;Caryocar brasiliense Cambess.;0.7;Bolivie;Amerique du Sud;1
11167;MALVACEAE;Luehea paniculata Mart.;0.6;Bolivie;Amerique du Sud;1
11168;APOCYNACEAE;Aspidosperma subincanum Mart.;0.69;Bolivie;Amerique du Sud;1
11169;FABACEAE;Platypodium elegans Vog.;0.88;Bolivie;Amerique du Sud;1
11170;COMBRETACEAE;Terminalia argentea Mart.;0.96;Bolivie;Amerique du Sud;1
11171;VOCHYSIACEAE;Callisthene fasciculata Mart.;0.77;Bolivie;Amerique du Sud;1
11172;FABACEAE;Vatairea macrocarpa Ducke var. cinerascens Ducke;0.8;Bolivie;Amerique du Sud;1
11173;BIGNONIACEAE;Jacaranda cuspidifolia Mart.;0.59;Bolivie;Amerique du Sud;1
11174;ANACARDIACEAE;Astronium fraxinifolium Schott;0.92;Bolivie;Amerique du Sud;1
11175;ANACARDIACEAE;Astronium urundeuva (Allem.) Engl.;1.14;Bolivie;Amerique du Sud;1
11176;MALVACEAE;Guazuma ulmifolia Lam.;0.49;Bolivie;Amerique du Sud;1
11177;MORACEAE;Brosimum gaudichaudii Trecul;0.62;Bolivie;Amerique du Sud;1
11178;CAESALPINIACEAE;Peltogyne confertiflora Benth.;0.93;Bolivie;Amerique du Sud;1
11179;ANACARDIACEAE;ANA indéterminé;;Bolivie;Amerique du Sud;1
11180;ANACARDIACEAE;Schinopsis brasiliensis Engl. var. glabra Engl.;1.09;Bolivie;Amerique du Sud;1
11181;CAESALPINIACEAE;CES indéterminé;;Bolivie;Amerique du Sud;1
11182;MIMOSACEAE;Acacia albicorticata Burkart;0.58;Bolivie;Amerique du Sud;1
11183;MIMOSACEAE;Albizia saman (Jacq.) Merril;0.52;Bolivie;Amerique du Sud;1
11184;APOCYNACEAE;Tabernaemontana cymosa Jacq.;0.49;Bolivie;Amerique du Sud;1
11185;MIMOSACEAE;Prosopis chilensis (Molina) Stuntz;0.73;Bolivie;Amerique du Sud;1
11186;CAESALPINIACEAE;Pterogyne nitens Tul.;0.8;Bolivie;Amerique du Sud;1
11187;DILLENIACEAE;Curatella americana L.;;Bolivie;Amerique du Sud;1
11188;MALVACEAE;Sterculia apetala (Jacq.) H.Karst.;0.46;Bolivie;Amerique du Sud;1
11189;FABACEAE;Machaerium villosum Vogel;0.84;Bolivie;Amerique du Sud;1
11190;APOCYNACEAE;Aspidosperma cylindrocarpon Müll.Arg.;0.87;Bolivie;Amerique du Sud;1
11191;SAPINDACEAE;Talisia esculenta (A.St.-Hil.) Radlk.;0.75;Bolivie;Amerique du Sud;1
11192;FABACEAE;Pterodon emarginatus Vogel;0.96;Bolivie;Amerique du Sud;1
11193;FABACEAE;Amburana cearensis A.C.Smith;0.6;Bolivie;Amerique du Sud;1
11194;FABACEAE;Machaerium sp;;Bolivie;Amerique du Sud;1
11195;BORAGINACEAE;Cordia alliodora (Ruiz & Pav.) Oken;;Bolivie;Amerique du Sud;1
11196;CAESALPINIACEAE;Caesalpinia sp;;Bolivie;Amerique du Sud;1
11197;RUBIACEAE;Calycophyllum multiflorum Griseb.;0.86;Bolivie;Amerique du Sud;1
11198;CAESALPINIACEAE;Copaifera langsdorfii Desf.;0.75;Bolivie;Amerique du Sud;1
11199;SALICACEAE;Casearia gossypiosperma Briq.;0.71;Bolivie;Amerique du Sud;1
11200;MELIACEAE;Trichilia sp;;Bolivie;Amerique du Sud;1
11201;CAESALPINIACEAE;Guibourtia chodatiana (Hassl.) Leonard;0.9;Bolivie;Amerique du Sud;1
11202;MIMOSACEAE;Anadenanthera colubrina (Vell.) Brenan;0.93;Bolivie;Amerique du Sud;1
11203;CAESALPINIACEAE;Hymenaea martiana Hayne;0.74;Bolivie;Amerique du Sud;1
11204;FABACEAE;Dipteryx alata Vogel;0.87;Bolivie;Amerique du Sud;1
11205;MALVACEAE;Ceiba sp;0.15;Bolivie;Amerique du Sud;1
11206;SAPINDACEAE;Magonia pubescens A.St.-Hil.;0.85;Bolivie;Amerique du Sud;1
11207;BORAGINACEAE;Cordia glabrata (Mart.) A.DC.;0.91;Bolivie;Amerique du Sud;1
11208;MIMOSACEAE;Piptadenia viridiflora (Kunth) Benth.;0.84;Bolivie;Amerique du Sud;1
11209;RUBIACEAE;Alibertia sp;;Bolivie;Amerique du Sud;1
11210;COMBRETACEAE;Combretum leprosum Mart.;0.66;Bolivie;Amerique du Sud;1
11211;FABACEAE;FAB indéterminé;;Bolivie;Amerique du Sud;1
11212;MIMOSACEAE;Plathymenia reticulata Benth.;0.74;Bolivie;Amerique du Sud;1
11213;BIGNONIACEAE;Zeyheria tuberculosa (Vell.) Bureau;0.91;Bolivie;Amerique du Sud;1
11214;MIMOSACEAE;Enterolobium contortisiliquum (Vell.) Morong;0.49;Bolivie;Amerique du Sud;1
11215;VOCHYSIACEAE;Vochysia divergens Pohl;0.47;Bolivie;Amerique du Sud;1
11216;FABACEAE;Machaerium pilosum Benth.;0.45;Bolivie;Amerique du Sud;1
11217;BIXACEAE;Cochlospermum regium Pilg.;0.24;Bolivie;Amerique du Sud;1
11218;MALVACEAE;Pseudobombax marginatum (St.Hil., Juss. & Cambess.) A.Robyns;0.18;Bolivie;Amerique du Sud;1
11219;SIMAROUBACEAE;Simarouba versicolor A.St.-Hil.;0.51;Bolivie;Amerique du Sud;1
11220;MALVACEAE;Apeiba tibourbou Aubl.;0.39;Bolivie;Amerique du Sud;1
11221;RUBIACEAE;Alibertia sp;;Bolivie;Amerique du Sud;1
11222;FABACEAE;Sweetia fruticosa Spreng.;0.9;Bolivie;Amerique du Sud;1
11223;EUPHORBIACEAE;Jatropha curcas L.;0.19;Bolivie;Amerique du Sud;1
11224;LAMIACEAE;Vitex cymosa Bertero ex Spreng;0.48;Bolivie;Amerique du Sud;1
11225;MORACEAE;Artocarpus heterophyllus Lam.;0.51;Vietnam;Asie continentale;0
11226;LAURACEAE;Cinnamomum sp;;Vietnam;Asie continentale;0
11227;CORNACEAE;Alangium chinense (Lour.) Harms;0.53;Vietnam;Asie continentale;0
11228;MELIACEAE;Toona sureni (Blume) Merr.;0.33;Vietnam;Asie continentale;0
11229;LAURACEAE;Cinnamomum camphora (L.) J.Presl.;0.53;Vietnam;Asie continentale;0
11230;FAGACEAE;Castanopsis fissa (Champ. ex Benth.) Rehder & E.H.Wilson;0.49;Vietnam;Asie continentale;0
11231;CAESALPINIACEAE;Peltophorum dasyrhachis v. tonkinense K.&SS.Larsen;0.45;Vietnam;Asie continentale;0
11232;MORACEAE;Artocarpus sp;0.61;Vietnam;Asie continentale;0
11233;LAURACEAE;Persea odoratissima (Nees) Kosterm.;0.57;Vietnam;Asie continentale;0
11234;LAURACEAE;Cinnamomum sp;0.48;Vietnam;Asie continentale;0
11235;ANACARDIACEAE;Choerospondias axilaris (Roxb.) B.L.Burtt. & A.W.Hill.;0.7;Vietnam;Asie continentale;0
11236;MALVACEAE;Sterculia rhinopetala K.Schum.;0.88;Cote d'Ivoire;Afrique;1
11237;MORACEAE;Ficus elasticoides De Wild.;0.64;Cote d'Ivoire;Afrique;1
11238;ANACARDIACEAE;Pseudospondias microcarpa Engl.;0.67;Cote d'Ivoire;Afrique;1
11239;CAESALPINIACEAE;Anthonotha macrophylla P.Beauv.;0.64;Cote d'Ivoire;Afrique;1
11240;EUPHORBIACEAE;Croton aubrevillei J.Leonard;0.69;Cote d'Ivoire;Afrique;1
11241;SAPINDACEAE;Majidea fosteri (Sprague) Radlk.;0.76;Cote d'Ivoire;Afrique;1
11242;ZYGOPHYLLACEAE;Balanites wilsoniana Dawe & Sprague;0.64;Cote d'Ivoire;Afrique;1
11243;DICHAPETALACEAE;Dichapetalum madagascariense Poir.;0.76;Cote d'Ivoire;Afrique;1
11244;SAPOTACEAE;Gambeyobotrys gigantea (A.Chev.) Aubrev.;0.64;Cote d'Ivoire;Afrique;1
11245;ANNONACEAE;Xylopia villosa Chipp;0.79;Cote d'Ivoire;Afrique;1
11246;BIGNONIACEAE;Markhamia lutea (Benth.) K.Schum.;0.58;Cote d'Ivoire;Afrique;1
11247;CLUSIACEAE;Garcinia afzelii Engl.;1;Cote d'Ivoire;Afrique;1
11248;CANNABACEAE;Celtis adolfi-friderici Engl.;0.72;Cote d'Ivoire;Afrique;1
11249;CAESALPINIACEAE;Hymenostegia afzelii (Oliv.) Harms;0.94;Cote d'Ivoire;Afrique;1
11250;CAESALPINIACEAE;Gilbertiodendron bilineatum (hutch. & Dalz.) J.Leonard;0.72;Cote d'Ivoire;Afrique;1
11251;BURSERACEAE;Protium heptaphyllum (Aubl.) Marchand;0.57;Bresil Amazonie;Amerique du Sud;0
11252;BIGNONIACEAE;Jacaranda copaia (Aubl.) D.Don;;Bresil Amazonie;Amerique du Sud;0
11253;EUPHORBIACEAE;Hura crepitans L.;;Bresil Amazonie;Amerique du Sud;0
11254;MYRISTICACEAE;Virola surinamensis (Rol. ex Rottb.) Warb.;;Bresil Amazonie;Amerique du Sud;0
11255;BIGNONIACEAE;Jacaranda copaia (Aubl.) D.Don;;Bresil Amazonie;Amerique du Sud;0
11256;URTICACEAE;Cecropia sciadophylla Mart. var. juranyana;0.2;Bresil Amazonie;Amerique du Sud;0
11257;URTICACEAE;Cecropia sp;;Bresil Amazonie;Amerique du Sud;0
11258;BIXACEAE;Cochlospermum sp;;Bresil Amazonie;Amerique du Sud;0
11259;CAESALPINIACEAE;Peltogyne sp;;Bresil Amazonie;Amerique du Sud;0
11260;LECYTHIDACEAE;Eschweilera sp;;Bresil Amazonie;Amerique du Sud;0
11261;LAURACEAE;Aniba sp;;Bresil Amazonie;Amerique du Sud;0
11262;MALVACEAE;Scleronema micranthum (Ducke) Ducke;;Bresil Amazonie;Amerique du Sud;0
11263;SAPOTACEAE;Pouteria venosa (Mart.) Baehni;0.8;Bresil Amazonie;Amerique du Sud;0
11264;URTICACEAE;Cecropia palmata Willd.;0.42;Bresil Amazonie;Amerique du Sud;0
11265;URTICACEAE;Cecropia sp;;Bresil Amazonie;Amerique du Sud;0
11266;CAESALPINIACEAE;Cassia sp;;Bresil Sud;Amerique du Sud;0
11267;MYRISTICACEAE;Virola sp;;Bresil Sud;Amerique du Sud;0
11268;CAESALPINIACEAE;Hymenaea sp;;Bresil Sud;Amerique du Sud;0
11269;LAURACEAE;Ocotea odorifera (Vell.) Rohwer;;Bresil Sud;Amerique du Sud;0
11270;SAPOTACEAE;Ecclinusa ramiflora Mart.;0.62;Bresil Sud;Amerique du Sud;0
11271;OPILIACEAE;Agonandra sp;0.74;Bresil Sud;Amerique du Sud;0
11272;CELASTRACEAE;Maytenus sp;0.76;Bresil Sud;Amerique du Sud;0
11273;SAPOTACEAE;Manilkara sp;0.97;Bresil Sud;Amerique du Sud;0
11274;SAPOTACEAE;Ecclinusa sp;0.75;Bresil Sud;Amerique du Sud;0
11275;MIMOSACEAE;Inga sp;;Bresil Sud;Amerique du Sud;0
11276;CELASTRACEAE;Maytenus sp;1.01;Bresil Sud;Amerique du Sud;0
11277;PUTRANJIVACEAE;Drypetes sp;;Bresil Sud;Amerique du Sud;0
11278;PHYLLANTHACEAE;Hieronyma sp;;Bresil Sud;Amerique du Sud;0
11279;PHYLLANTHACEAE;Hieronyma sp;;Bresil Sud;Amerique du Sud;0
11280;PHYLLANTHACEAE;Hieronyma sp;;Bresil Sud;Amerique du Sud;0
11281;INCONNUE;Famille inconnue;;Bresil Sud;Amerique du Sud;0
11282;OLACACEAE;Minquartia sp;;Bresil Sud;Amerique du Sud;0
11283;INCONNUE;Famille inconnue;;Bresil Sud;Amerique du Sud;0
11284;MALVACEAE;Tarrietia densiflora Aubrev. & Normand;;Gabon;Afrique;1
11285;MALVACEAE;Tarrietia densiflora Aubrev. & Normand;;Gabon;Afrique;1
11286;MALVACEAE;Tarrietia densiflora Aubrev. & Normand;;Gabon;Afrique;1
11287;MALVACEAE;Tarrietia densiflora Aubrev. & Normand;;Gabon;Afrique;1
11288;MALVACEAE;Tarrietia densiflora Aubrev. & Normand;;Gabon;Afrique;1
11289;BURSERACEAE;Dacryodes buettneri (Engl.) H.J.Lam;0.56;Gabon;Afrique;0
11290;CAESALPINIACEAE;Bikinia coriacea (Morel) Wieringa;0.6;Gabon;Afrique;1
11291;CAESALPINIACEAE;Didelotia brevipaniculata J.Leonard;0.64;Gabon;Afrique;1
11292;CAESALPINIACEAE;Bikinia le-testui (Pellegr.) Wieringa;0.55;Gabon;Afrique;1
11293;CAESALPINIACEAE;Tetraberlinia bifoliolata (Harms) Hauman;0.8;Gabon;Afrique;1
11294;COMBRETACEAE;Strephonema sericeum Hook.f.;0.87;Gabon;Afrique;1
11295;CAESALPINIACEAE;Gilbertiodendron preussii (Harms) J.Leonard;0.73;Gabon;Afrique;1
11296;RUTACEAE;Zanthoxylum heitzii (Aubrev. & Pellegr.) P.G.Waterman;0.54;Gabon;Afrique;1
11297;SAPOTACEAE;Gluema ivorensis Aubrev. & Pellegr.;0.89;Cote d'Ivoire;Afrique;0
11298;PHYLLANTHACEAE;Spondianthus preussii Engl.;;Cote d'Ivoire;Afrique;0
11299;MELIACEAE;Entandrophragma utile (Dawe & Sprague) Sprague;;Cameroun;Afrique;0
11300;MORACEAE;Milicia excelsa (Welw.) C.C.Berg;0.59;Cameroun;Afrique;0
11301;CAESALPINIACEAE;Distemonanthus benthamianus Baill.;0.65;Cameroun;Afrique;0
11302;CAESALPINIACEAE;Aphanocalyx cynometroides Oliv.;1.07;Zaire;Afrique;1
11303;CAESALPINIACEAE;Normandiodendron romii (De Wild.) J.Leonard;1.06;Zaire;Afrique;1
11304;JUGLANDACEAE;Carya ovata (Mill.) K.Koch;0.73;Etats-Unis Centre;Amerique du Nord;0
11305;PINACEAE;Picea glauca (Moench) Voss.;;Etats-Unis Centre;Amerique du Nord;0
11306;FABACEAE;Amburana cearensis A.C.Smith var. acreana Macbr.;0.67;Perou;Amerique du Sud;0
11307;MIMOSACEAE;Cedrelinga cateniformis Ducke;;Perou;Amerique du Sud;0
11308;PINACEAE;Pinus ponderosa Douglas ex Lawson;;Etats-Unis Centre;Amerique du Nord;0
11309;PINACEAE;Abies concolor Lindl. ex Hildbr.;;Etats-Unis Sud;Amerique du Nord;0
11310;PINACEAE;Abies lasiocarpa var. arizonica Lemmon;;Etats-Unis Sud;Amerique du Nord;0
11311;PINACEAE;Picea engelmanni Parry ex Engelm.;;Etats-Unis Sud;Amerique du Nord;0
11312;APOCYNACEAE;Couma macrocarpa Barb. & Rodr.;0.54;Colombie;Amerique du Sud;0
11313;MIMOSACEAE;Abarema jupunba Britt. & Killip;;Colombie;Amerique du Sud;0
11314;MALVACEAE;Pseudobombax septenatum (Jacq.) Dugand;0.29;Colombie;Amerique du Sud;0
11315;EUPHORBIACEAE;Hura crepitans L.;0.59;Colombie;Amerique du Sud;0
11316;EUPHORBIACEAE;Hura crepitans L.;0.41;Surinam;Amerique du Sud;0
11317;PINACEAE;Pinus coulteri Lamb. ex D.Don;;Etats-Unis Ouest;Amerique du Nord;0
11318;PINACEAE;Pinus montezumae Lamb.;;Mexique;Amerique Centrale et Antilles;0
11319;PINACEAE;Pinus oocarpa Schiede ex Schltdl.;;Mexique;Amerique Centrale et Antilles;0
11320;PINACEAE;Pinus devoniana Lindl.;;Mexique;Amerique Centrale et Antilles;0
11321;PINACEAE;Pinus lawsonii Roezl. ex Gordon;;Mexique;Amerique Centrale et Antilles;0
11322;PINACEAE;Pinus pringlei Shaw;;Mexique;Amerique Centrale et Antilles;0
11323;PINACEAE;Pinus leiophylla Schiede ex Schltdl. & Cham.;;Mexique;Amerique Centrale et Antilles;0
11324;PINACEAE;Pinus pseudostrobus Lindl.;;Mexique;Amerique Centrale et Antilles;0
11325;PINACEAE;Pinus teocote Schltdl. & Cham.;;Mexique;Amerique Centrale et Antilles;0
11326;PINACEAE;Pinus strobus L.;;Mexique;Amerique Centrale et Antilles;0
11327;MALVACEAE;Ceiba insignis (Kunth) P.E.Gibbs & Semir;0.3;Perou;Amerique du Sud;0
11328;SALICACEAE;Populus alba L. var. grandidentata;;Etats-Unis Centre;Amerique du Nord;0
11329;LYTHRACEAE;Sonneratia apetala Buch.-Ham.;0.58;Bangladesh;Asie continentale;0
11330;MALVACEAE;Heritiera fomes Buch.-Ham.;;Bangladesh;Asie continentale;0
11331;EUPHORBIACEAE;Excoecaria agallocha L.;0.47;Bangladesh;Asie continentale;0
11332;BIGNONIACEAE;Roseodendron donnel-smithii (Rose) Miranda;0.59;Guatemala;Amerique Centrale et Antilles;0
11333;MELIACEAE;Toona ciliata M.Roem. var. australis F.Muell.;;Hawai;Oceanie;0
11334;PINACEAE;Tsuga mertensiana (Bong.) Carriere;;Etats-Unis Ouest;Amerique du Nord;0
11335;PAULOWNIACEAE;Paulownia tomentosa (Thunb.) Steud.;0.28;Etats-Unis Sud;Amerique du Nord;0
11336;MYRTACEAE;Metrosideros polymorpha Gaudich.;0.87;Hawai;Oceanie;0
11337;FAGACEAE;Lithocarpus densiflorus (Hook. & Arn.) Rehder;0.83;Etats-Unis Ouest;Amerique du Nord;0
11338;MIMOSACEAE;Prosopis juliflora (Sw.) DC.;0.63;Etats-Unis Sud;Amerique du Nord;0
11339;BETULACEAE;Alnus rubra Bong.;0.46;Etats-Unis Ouest;Amerique du Nord;0
11340;ERICACEAE;Arbutus menziesii Pursh.;0.62;Etats-Unis Ouest;Amerique du Nord;0
11341;PINACEAE;Pinus coulteri Lamb. ex D.Don;;Etats-Unis Ouest;Amerique du Nord;0
11342;APOCYNACEAE;Alstonia sp;;Cameroun;Afrique;0
11343;MALVACEAE;Triplochiton scleroxylon K.Schum.;;Cameroun;Afrique;0
11344;MALVACEAE;Triplochiton scleroxylon K.Schum.;;Cameroun;Afrique;0
11345;MALVACEAE;Triplochiton scleroxylon K.Schum.;;Cameroun;Afrique;0
11346;MALVACEAE;Triplochiton scleroxylon K.Schum.;;Cameroun;Afrique;0
11347;MALVACEAE;Triplochiton scleroxylon K.Schum.;;Cameroun;Afrique;0
11348;MALVACEAE;Triplochiton scleroxylon K.Schum.;;Cameroun;Afrique;0
11349;FABACEAE;Piscidia piscipula (L.) Sarg.;0.79;Jamaique;Amerique Centrale et Antilles;0
11350;CALOPHYLLACEAE;Mesua ferrea L.;1.06;Inde;Asie continentale;0
11351;BIGNONIACEAE;Paratecoma peroba (Record & Mell) Kuhlm.;0.75;Bresil Centre;Amerique du Sud;0
11352;CALOPHYLLACEAE;Calophyllum brasiliense Cambess.;;Bresil Amazonie;Amerique du Sud;0
11353;ASTERACEAE;Brachylaena huillensis O.Hoffm.;0.89;Afrique Est n.p.;Afrique;0
11354;SANTALACEAE;Santalum spicatum R.Br.;1.01;Australie;Oceanie;0
11355;MELIACEAE;Khaya anthotheca (Welw.) C.DC.;0.56;Cameroun;Afrique;1
11356;CAESALPINIACEAE;Berlinia confusa Hoyle;0.85;Cameroun;Afrique;0
11357;FABACEAE;Pterocarpus soyauxii Taub.;0.68;Cameroun;Afrique;0
11358;MALVACEAE;Nesogordonia papaverifera (A.Chev.) Capuron;0.84;Cameroun;Afrique;0
11359;MALVACEAE;Tarrietia javanica Bl.;0.69;Cambodge;Asie continentale;0
11360;BURSERACEAE;Aucoumea klaineana Pierre;0.49;Gabon;Afrique;0
11361;BURSERACEAE;Aucoumea klaineana Pierre;0.34;Gabon;Afrique;0
11362;BURSERACEAE;Aucoumea klaineana Pierre;0.33;Gabon;Afrique;0
11363;CONVOLVULACEAE;Humbertia madagascariensis Lam.;1.24;Madagascar;Ocean Indien;0
11364;CAESALPINIACEAE;Didelotia letouzeyi Pellegr.;0.68;Congo;Afrique;1
11365;DIPTEROCARPACEAE;Dipterocarpus costatus Gaertn.f.;0.89;Cambodge;Asie continentale;0
11366;DIPTEROCARPACEAE;Anisoptera costata Korth.;0.56;Cambodge;Asie continentale;0
11367;DIDIERACEAE;Alluaudia procera (Drake) Drake;0.38;Madagascar;Ocean Indien;0
11368;DIDIERACEAE;Alluaudia procera (Drake) Drake;0.31;Madagascar;Ocean Indien;0
11369;ANACARDIACEAE;Pleiogynium timoriense (A.DC.) Leenh.;0.83;Australie;Oceanie;0
11370;MALVACEAE;Lueheopsis rugosa (Pulle) Burret;0.61;Guyane Francaise;Amerique du Sud;1
11371;LAURACEAE;Licaria chrysophylla (Meisn.) Kosterm.;0.85;Guyane Francaise;Amerique du Sud;1
11372;MELIACEAE;Trichilia schomburgkii C.DC.;1.03;Guyane Francaise;Amerique du Sud;1
11373;FABACEAE;Platymiscium ulei Harms;0.94;Guyane Francaise;Amerique du Sud;1
11374;LAURACEAE;Ocotea guianensis Aubl.;0.41;Guyane Francaise;Amerique du Sud;1
11375;CELASTRACEAE;Maytenus sieberiana Krug & Urb.;0.75;Guyane Francaise;Amerique du Sud;1
11376;CARYOCARACEAE;Caryocar microcarpum Ducke;0.56;Guyane Francaise;Amerique du Sud;1
11377;FABACEAE;Dipteryx odorata (Aubl.) Willd.;;Guyane Francaise;Amerique du Sud;1
11378;APOCYNACEAE;Couma guianensis Aubl.;0.52;Guyane Francaise;Amerique du Sud;1
11379;ARALIACEAE;Schefflera decaphylla (Seem.) Harms;0.52;Guyane Francaise;Amerique du Sud;1
11380;LAURACEAE;Rhodostemonodaphne grandis (Mez) Rohwer;0.54;Guyane Francaise;Amerique du Sud;1
11381;APOCYNACEAE;Himatanthus articulatus (Vahl) Woodson;0.68;Guyane Francaise;Amerique du Sud;1
11382;OLACACEAE;Ptychopetalum olacoides Benth.;0.97;Guyane Francaise;Amerique du Sud;1
11383;CAESALPINIACEAE;Recordoxylon speciosum (Benoist) Gazel ex Barneby;0.99;Guyane Francaise;Amerique du Sud;1
11384;CAESALPINIACEAE;Cassia spruceana Benth.;0.92;Guyane Francaise;Amerique du Sud;1
11385;MALVACEAE;Sterculia excelsa Mart.;0.59;Guyane Francaise;Amerique du Sud;1
11386;FABACEAE;Platymiscium trinitatis Benth.;0.92;Guyane Francaise;Amerique du Sud;1
11387;FABACEAE;Clathrotropis brachypetala (Tul.) Kleinhoonte;0.79;Guyane Francaise;Amerique du Sud;1
11388;MORACEAE;Milicia excelsa (Welw.) C.C.Berg;;Gabon;Afrique;1
11389;LAMIACEAE;Tectona grandis L.f.;;Togo;Afrique;0
11390;SAPOTACEAE;Manilkara obovata (Sabine & G.Don) Hemsl.;1.15;Liberia;Afrique;0
11391;CAESALPINIACEAE;Julbernardia brieyi Troupin;0.8;Gabon;Afrique;1
11392;CAESALPINIACEAE;Prioria balsamifera (Vermoesen) Breteler;0.57;Gabon;Afrique;1
11393;CAESALPINIACEAE;Oddoniodendron micranthum Baker f.;0.88;Gabon;Afrique;1
11394;CAESALPINIACEAE;Bikinia media Wieringa;0.75;Gabon;Afrique;1
11395;CAESALPINIACEAE;Gilbertiodendron dewevrei (De Wild.) J.Leonard;0.8;Gabon;Afrique;1
11396;COMBRETACEAE;Strephonema sericeum Hook.f.;0.98;Gabon;Afrique;1
11397;CAESALPINIACEAE;Julbernardia seretii Troupin;0.79;Gabon;Afrique;1
11398;CAESALPINIACEAE;Hymenostegia pellegrini J.Leonard;1.09;Gabon;Afrique;1
11399;CANNABACEAE;Celtis tessmannii Rendle;0.89;Gabon;Afrique;1
11400;CAESALPINIACEAE;Bikinia pellegrinii (A.Chev.) Wieringa;0.64;Gabon;Afrique;1
11401;CAESALPINIACEAE;Julbernardia pellegriniana Troupin;0.77;Gabon;Afrique;1
